id_bien;voie;fk_commune;surface_carrez;type_local;nombre_pieces;numero_lot
293;7102 PL DE L ENGIEN;79;106.43;Appartement;4;1
294;7003 RES LES MELEZES;80;29.74;Appartement;1;274
295;9500 TRA DU CAMPING;81;65.4;Appartement;3;4
296;1 RUE DES MONGES;82;144.6;Appartement;4;3
297;7066  STATION DE SAINT JEAN;83;24.74;Appartement;1;81
298;9002 PL DU DOCTEUR ROBERT;78;32.89;Appartement;1;9
299;7192  LA CHAPELLE;84;20.92;Appartement;1;41
300; PL DES AIRES;85;93.76;Appartement;4;7
301;7078 RTE DE MAZAGRAND;86;20.73;Appartement;1;6
302;7037  LE VILLAGE;87;26.6;Appartement;2;6
303;6 RUE GRANDE;88;40;Appartement;3;6
304;7034  ADRECH DE CHAUVET;84;27.46;Appartement;1;234
305;25 AV FRANCOIS CUZIN;82;51.42;Appartement;2;50
306;20 RUE DU VALLON DE FARINE;82;71.39;Maison;3;32
307;7002  STATION DE SAINT JEAN;83;41.16;Appartement;2;33
308;7042  LE VILLAGE;89;65.5;Appartement;2;7
309;7398  PONT DE LABRAU OUEST;84;34.95;Appartement;2;162
310;24 LOT LOTISSEMENT DU BERARD;90;60.66;Appartement;3;2
311;7052 RES LES CHENEVRIERS;80;24.32;Appartement;1;46
312;12 CHE DES ALPAGES;91;23.02;Appartement;1;50
313;25 RUE PRINCIPALE;86;59.73;Appartement;2;6
314;7300 CHE DES BEAUMES;92;33.05;Appartement;2;7
315;39 BD VICTOR HUGO;82;23.25;Appartement;1;41
316;9482 RES LE VALLON DES SOURCES;82;30.47;Appartement;2;13
317;32 BD VICTOR HUGO;82;28.33;Appartement;1;72
318;5081  LE SUPERSAUZE;80;35.97;Appartement;1;7
319;26  LE PONT;93;20.85;Maison;2;26
320;7178  PONT DE LABRAU;84;20.55;Appartement;1;86
321;2 IMP DE CARUPE;94;142.9;Appartement;5;2
322;7153  LES HAUTES PLAINES;92;18.44;Appartement;1;69
323;5112 RES LES MARGUERITES;80;26.76;Appartement;1;112
324;4 PL DE LA MAIRIE;82;53.1;Appartement;2;9
325;5230  LE SUPERSAUZE;80;35.2;Appartement;2;90
326;7153  LES HAUTES PLAINES;92;18.84;Appartement;1;54
327;6  ANCIENNE RTE D FORCALQUIER;95;80.26;Appartement;3;1
328;7096  BEAUDINE;96;76.81;Appartement;4;13
329;3 PL DE LA REPUBLIQUE;78;79.54;Appartement;3;26
330;53 RUE DELEUZE;78;72.07;Appartement;2;13
331;7023  GRANDE MONTAGNE;97;29.66;Appartement;2;315
332;7052  LES AUCHES;84;29.03;Appartement;2;209
333;181 ALL DES AVETTES;98;82.37;Maison;5;57
334;5 AV MARCEL ANDRE;96;33.8;Appartement;2;2
335;7218  LACHAUD ET CHAUVET;84;19.72;Appartement;1;71
336;320 AV DU DCT BERNARD FOUSSIER;98;15;Appartement;4;35
337;6 RUE ANDRE HONNORAT;91;58.96;Appartement;3;9
338;155 RUE DOC CASIMIR CAIRE;96;42.73;Appartement;2;15
339;5637 AV DES THERMES;92;25.32;Appartement;1;20
340;7054  LA CHAPELLE;84;14.41;Appartement;1;339
341;3 RUE TANNERIE;79;38.97;Appartement;2;2
342;118 RUE POTERIE;78;44.44;Appartement;3;2
343;1 REM DES CORDELIERS;96;27.26;Maison;1;1
344;9002  LES LAVANDES;98;83.88;Appartement;5;19
345; RES LES MARMOTTES BLEUES;99;25.55;Appartement;2;1832
346;5038  LE VILLAGE;100;40.4;Appartement;1;1
347;9 RUE FONT CHAUDE;78;136.86;Appartement;2;24
348;7089  SAINT PIERRE;88;90.75;Appartement;4;301
349;5154 RUE DE LA FERRAILLE;101;59.36;Maison;2;2
350;7215  LA SESTRIERE;84;26.99;Appartement;1;32
351;3 TRA DES EAUX CHAUDES;82;67.22;Appartement;3;807
352;1 RUE JULES BOURDIN;102;39.16;Appartement;2;1
353;5637 AV DES THERMES;92;25.07;Appartement;1;52
354;14 ALL DE PROVENCE;98;63.73;Appartement;3;28
355;5028 CHE DE STE ANNETTE;92;102.87;Appartement;4;13
356;36 AV HENRI JAUBERT;82;82.11;Appartement;4;103
357;117 AV DES THERMES;92;23.35;Appartement;1;78
358;9001 RES JEANNE D ARC;98;30.05;Appartement;1;240
359;20 RUE MARIUS DEBOUT;96;49.2;Appartement;2;6
360;7224  LES HAUTES PLAINES;92;24.25;Appartement;1;51
361; RES PRA CHAUVET;99;37.55;Appartement;2;14
362;7009  ADRECH DE CHAUVET;84;108.85;Appartement;2;222
363; RES LES MELEZES;99;73.99;Appartement;3;102
364;7215  STATION DE SAINT JEAN;83;28.02;Appartement;1;3
365;7113  LES SAGNES;88;22.91;Appartement;1;26
366;7024  LES HAUTES PLAINES;92;27.36;Appartement;1;137
367;7023  LES HAUTES PLAINES;92;27.22;Appartement;1;56
368;3 RUE DU FRESQUIE;96;92.94;Maison;4;246
369; RES LE CEZANNE;92;30.95;Appartement;1;57
370;20 ALL DE PROVENCE;98;62.43;Appartement;2;54
371;3 TRA DES EAUX CHAUDES;82;35.71;Appartement;1;1302
372;7102 RTE DU LAC;103;61.53;Appartement;2;39
373;5038  LES VIEUX BAINS;92;27.18;Appartement;1;109
374;29 RUE NATIONALE;85;18;Appartement;1;6
375; RES LE CHRISTIANA;99;24.87;Appartement;1;1477
376;5177 RUE GRANDE;104;62.85;Appartement;3;2
377;9013 BD PAUL MARTIN NALIN;98;56.52;Appartement;3;8
378;11 RUE DE L ANCIENNE MAIRIE;82;52.45;Appartement;4;26
379;9001  LA COLETTE;98;67;Appartement;4;23
380;7028  MAZAGRAND;86;28.48;Appartement;1;40
381;9001  LA COLETTE;98;54.33;Appartement;3;90
382;8 MTE DU CHASTEL;86;35.65;Appartement;2;1
383;5 AV DES THERMES;82;21.35;Appartement;1;15
384; RES LA BERANGERE;99;32.84;Appartement;1;1301
385;5004 AV GEORGES DE SALVE;105;19.28;Appartement;1;14
386;30 AV DES ARCADES;78;55.5;Appartement;2;11
387;15 CHE DES AJONCS;82;73.48;Appartement;4;13
388;40 AV JEAN MOULIN;78;75.06;Appartement;3;41
389;4 RUE DES ALPES;98;83.46;Appartement;4;1
390;42 CHE DES SALETTES;81;89.06;Maison;4;42
391;7091  CHANTEMERLE;88;25.08;Appartement;2;32
392;7263 RES LA PETITE OURSE 2;84;26.41;Appartement;1;7
393;28 RUE DE L HUBAC;82;54.79;Appartement;4;15
394; RES L EDELWEISS;99;42.72;Appartement;2;55
395;16 AV SAINT PROMASSE;96;45.2;Appartement;2;3
396;9491 CHE DU LAC;81;44.24;Appartement;2;21
397;20 RUE DE LA REPUBLIQUE;106;41.7;Appartement;1;3
398;7 RUE GRENETTE;91;46.21;Appartement;2;13
399;12 RUE LOUIS ANDRIEUX;96;64.99;Appartement;3;9
400;156 RUE PIERRE MAITRE;107;97.07;Maison;4;4
401;7024  LES HAUTES PLAINES;92;27.5;Appartement;1;119
402;3 RLE DES PRISONS;96;54.64;Appartement;3;1
403;16 RUE DE L ARMISTICE;98;44.2;Appartement;2;7
404;7197 RES LE SCHUSS 3;84;16.61;Appartement;1;278
405;10 AV MARCEL ANDRE;96;46.42;Appartement;2;28
406;7089 AV REINE DES ALPES;91;25.44;Appartement;2;6
407;7199  LE SEIGNUS BAS;84;17.31;Appartement;1;39
408;7 PL GENERAL DE GAULLE;82;22.9;Appartement;1;24
409;7464  STATION DU GRAND PUY;88;46.93;Appartement;2;22
410;8 CHE DES PASQUIERS;91;38.9;Appartement;2;37
411;5249 PL DU FOUR;108;152.65;Appartement;5;2
412;5031  LE VILLAGE;109;36.42;Appartement;1;6
413;5169  LE VILLAGE;110;25.95;Appartement;1;7
414;30 BD CHARLES DE GAULLE;98;53.81;Appartement;2;504
415; RES LA TOVIERE;99;30;Appartement;1;130
416;7076 RES LES MELEZES ROI SOLEIL;80;24.89;Appartement;2;44
417;7076 RES LES MELEZES ROI SOLEIL;80;45.22;Appartement;3;63
418;7076 RES LES MELEZES ROI SOLEIL;80;22.92;Appartement;1;1
419;7112  LES AUCHES;84;11.43;Appartement;1;332
420;3 RUE TRAVERSIERE;91;16.81;Appartement;1;6
421;9001  LA LUQUECE;98;68.19;Appartement;4;1
422;70 AV JEAN GIONO;98;59.5;Appartement;3;26
423;7199  LE SEIGNUS BAS;84;28.4;Appartement;2;62
424;35 RUE DU MITAN;85;18.26;Appartement;1;2
425;5135 RUE DE COCODY;86;28.9;Maison;3;21
426; RES LA SAPINIERE;99;25.9;Appartement;1;1007
427;7037  LES PLAINES;92;30;Appartement;1;49
428; RES LA ROCHAILLE;99;29.85;Appartement;1;103
429;28  LE PONT;93;21.71;Maison;2;28
430;8 CRS DU TRIBUNAL;82;69.7;Appartement;4;15
431;103 BD GASSENDI;82;60.28;Appartement;3;4
432;53 BD ELEMIR BOURGES;98;75.3;Appartement;3;11
433;7073  PONT DE LABRAU;84;26.09;Appartement;1;23
434;3 CHE DE VILLEVIEILLE;91;64.96;Appartement;2;26
435;7052  LES AUCHES;84;17.6;Appartement;1;514
436;6103  LES CHABRANDS;105;119.9;Maison;4;3
