id_commune;code_postal;commune
440;22370;PLENEUF-VAL-ANDRE
441;22410;SAINT-QUAY-PORTRIEUX
442;22190;PLERIN
443;22680;BINIC-ETABLES-SUR-MER
444;22120;HILLION
445;22950;TREGUEUX
446;22400;NOYAL
447;22650;BEAUSSAIS-SUR-MER
448;22100;DINAN
449;22380;SAINT-CAST-LE-GUILDO
450;22240;FREHEL
451;22100;TADEN
452;22770;LANCIEUX
453;22130;PLANCOET
454;22350;CAULNES
455;22100;LANVALLAY
456;22550;MATIGNON
457;22250;BROONS
458;22200;GUINGAMP
459;22970;PLOUMAGOAR
460;22700;PERROS-GUIREC
461;22300;LANNION
462;22220;TREGUIER
463;22660;TREVOU-TREGUIGNEC
464;22560;TREBEURDEN
465;22310;PLESTIN-LES-GREVES
466;22600;LOUDEAC
467;23300;LA SOUTERRAINE
468;23000;GUERET
469;24000;PERIGUEUX
470;24750;TRELISSAC
471;24750;BOULAZAC ISLE MANOIRE
472;24660;COULOUNIEIX-CHAMIERS
473;24100;BERGERAC
474;33220;PORT-SAINTE-FOY-ET-PONCHAPT
475;24510;VAL DE LOUYRE ET CAUDEAU
476;24230;LAMOTHE-MONTRAVEL
477;24120;TERRASSON LAVILLEDIEU
478;24200;SARLAT-LA-CANEDA
479;24580;ROUFFIGNAC-ST-CERNIN-DE-REILHA
480;24250;CASTELNAUD-LA-CHAPELLE
481;25000;BESANCON
482;25870;GENEUILLE
483;25410;SAINT VIT
484;25320;BOUSSIERES
485;25620;MAMIROLLE
486;25220;ROCHE LEZ BEAUPRE
487;25480;MISEREY SALINES
488;25870;BONNAY
489;25960;DELUZ
490;25870;LES AUXONS
491;25110;BAUME LES DAMES
492;25300;PONTARLIER
493;25300;GRANGES NARBOZ
494;25370;JOUGNE
495;25130;VILLERS LE LAC
496;25500;MORTEAU
497;25370;LES HOPITAUX NEUFS
498;25370;ROCHEJEAN
499;25290;ORNANS
500;25300;DOUBS
501;25800;VALDAHON
502;25300;LA CLUSE ET MIJOUX
503;25370;METABIEF
504;25580;ETALANS
505;25500;MONTLEBON
506;25240;MOUTHE
507;25300;LES FOURGS
508;25140;CHARQUEMONT
509;25400;AUDINCOURT
510;25230;SELONCOURT
511;25310;HERIMONCOURT
512;25200;MONTBELIARD
513;26100;ROMANS-SUR-ISERE
514;26000;VALENCE
515;26210;MORAS-EN-VALLOIRE
516;26200;MONTELIMAR
517;26300;BOURG-DE-PEAGE
518;26740;MONTBOUCHER-SUR-JABRON
519;26500;BOURG LES VALENCE
520;26120;CHABEUIL
521;26400;CREST
522;26290;DONZERE
523;26140;SAINT-RAMBERT-D ALBON
524;26220;DIEULEFIT
525;26790;TULETTE
526;26800;BEAUVALLON
527;26110;MIRABEL-AUX-BARONNIES
528;26270;LORIOL SUR DROME
529;26700;PIERRELATTE
530;26130;SAINT-PAUL-TROIS-CHATEAUX
531;26120;MONTELIER
532;26250;LIVRON SUR DROME
533;26800;PORTES LES VALENCE
534;26110;NYONS
535;26740;SAUZET
536;26260;SAINT-DONAT-SUR-L HERBASSE
537;26200;ANCONE
538;26770;SAINT-PANTALEON-LES-VIGNES
539;26420;SAINT-AGNAN-EN-VERCORS
540;26600;LA ROCHE DE GLUN
541;26540;MOURS-SAINT-EUSEBE
542;26240;SAINT VALLIER
543;26600;PONT DE L ISERE
544;26600;MERCUROL-VEAUNES
545;26600;TAIN L HERMITAGE
546;26760;BEAUMONT LES VALENCE
547;26130;MONTSEGUR-SUR-LAUZON
548;26240;PONSAS
549;27930;GRAVIGNY
550;27250;RUGLES
551;27530;EZY SUR EURE
552;27000;EVREUX
553;27120;PACY-SUR-EURE
554;27730;BUEIL
555;27200;VERNON
556;27950;ST MARCEL
557;27190;CONCHES EN OUCHE
558;27130;VERNEUIL D'AVRE ET D'ITON
559;27140;GISORS
560;27700;LES ANDELYS
561;27270;LA TRINITE DE REVILLE
562;27170;BEAUMONT LE ROGER
563;27300;BERNAY
564;27600;GAILLON
565;28000;CHARTRES
566;28320;GALLARDON
567;28630;LE COUDRAY
568;28230;EPERNON
569;28300;MAINVILLIERS
570;28310;TOURY
571;28130;HANCHES
572;28300;LEVES
573;28300;GASVILLE OISEME
